2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ammonite-util_2.13/2.2.0/ammonite-util_2.13-2.2.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/io/argonaut/argonaut_2.13/6.2.3/argonaut_2.13-6.2.3-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/windows-ansi/windows-ansi/0.0.3/windows-ansi-0.0.3-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib_2.13/0.8.0/mill-scalanativelib_2.13-0.8.0.jar[0m
2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/fastparse_2.13/2.3.0/fastparse_2.13-2.3.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-contrib-bloop_2.13/0.8.0/mill-contrib-bloop_2.13-0.8.0.jar[0m
2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/scalaparse_2.13/2.3.0/scalaparse_2.13-2.3.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/scalaparse_2.13/2.3.0/scalaparse_2.13-2.3.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-main-moduledefs_2.13/0.8.0/mill-main-moduledefs_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/fastparse_2.13/2.3.0/fastparse_2.13-2.3.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/requests_2.13/0.6.5/requests_2.13-0.6.5-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/upickle_2.13/1.2.0/upickle_2.13-1.2.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.3/shapeless_2.13-2.3.3-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite-util_2.13/2.2.0/ammonite-util_2.13-2.2.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/3.11.4/protobuf-java-3.11.4-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloaded https://repo1.maven.org/maven2/com/google/guava/guava/21.0/guava-21.0-sources.jar[0m
2022.05.21 13:01:48 INFO  Downloading https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext.xbase.lib/2.18.0/org.eclipse.xtext.xbase.lib-2.18.0-sources.jar[0m
